componentSlug,componentName,componentId,fieldName,fieldType,baseValue,variants,notes,risk,coverage
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,startColorB,float4,omitted,"(1, 1, 1, 1), (0.44521102, 0.67951274, 0.99998397, 1)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,stretchFactor,float,omitted,"3, 6",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,torusInnerRadius,float,omitted,0.5,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,useEndColor,bool,omitted,"1, 0",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,useEndColorRange,bool,omitted,"0, 1",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,useStartColorRange,bool,omitted,"0, 1",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,vortexDirection,float3,omitted,"(1, 0, 1)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,vortexStrength,float,omitted,"8, 7",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,warmupDuration,double,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,angularDamping,float,omitted,0.1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,dynamicFriction,double,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,gravityEnabled,bool,omitted,0,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,isCCDEnabled,bool,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,linearDamping,float,omitted,0.04,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,lockRotationX,bool,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,lockRotationY,bool,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,lockRotationZ,bool,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,lockTranslationX,bool,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,lockTranslationY,bool,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,lockTranslationZ,bool,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,m_inertia,float3,omitted,"(0.2, 0.2, 0.2)",Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,m_mass,float,1,2,,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,motionType,token,omitted,"""Kinematic"", ""Static""",Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,orientation,quatf,omitted,"(0.9999238, 0.008726202, 0.008726204, -0.000076152406), (0.99988645, 0.008649719, 0.008802022, 0.008649721)",Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,position,float3,omitted,"(0.01, 0.01, 0.01)",Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,restitution,double,omitted,1,Not authored in baseline fixture.,High,Observed
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,staticFriction,double,omitted,1,Not authored in baseline fixture.,High,Observed
physics-motion-component,PhysicsMotionComponent,RealityKit.MotionState,m_userSetAngularVelocity,float3,omitted,"(1, 1, 1)",Not authored in baseline fixture.,Low,Observed
physics-motion-component,PhysicsMotionComponent,RealityKit.MotionState,m_userSetAngularVelocityVersion,uint,omitted,1,Not authored in baseline fixture.,Low,Observed
physics-motion-component,PhysicsMotionComponent,RealityKit.MotionState,m_userSetLinearVelocity,float3,omitted,"(1, 1, 1)",Not authored in baseline fixture.,Low,Observed
physics-motion-component,PhysicsMotionComponent,RealityKit.MotionState,m_userSetLinearVelocityVersion,uint,omitted,1,Not authored in baseline fixture.,Low,Observed
point-light-component,PointLightComponent,RealityKit.PointLight,attenuationFalloffExponent,float,omitted,4,Not authored in baseline fixture.,Low,Observed
point-light-component,PointLightComponent,RealityKit.PointLight,attenuationRadius,float,omitted,20,Not authored in baseline fixture.,Low,Observed
point-light-component,PointLightComponent,RealityKit.PointLight,color,float3,omitted,"(0.722041, 0.92509, 0)",Not authored in baseline fixture.,Low,Observed
point-light-component,PointLightComponent,RealityKit.PointLight,intensity,float,omitted,470000,Not authored in baseline fixture.,Low,Observed
reverb-component,ReverbComponent,RealityKit.Reverb,reverbPreset,token,"""MediumRoomTreated""","""Anechoic"", ""ConcertHall"", ""LargeRoom""",,Low,Observed
spatial-audio-component,SpatialAudioComponent,RealityKit.SpatialAudio,directivityFocus,float,omitted,0.66572917,Not authored in baseline fixture.,Medium,Observed
spatial-audio-component,SpatialAudioComponent,RealityKit.SpatialAudio,directLevel,float,omitted,-34.559376,Not authored in baseline fixture.,Medium,Observed
spatial-audio-component,SpatialAudioComponent,RealityKit.SpatialAudio,gain,float,omitted,-32.60521,Not authored in baseline fixture.,Medium,Observed
spatial-audio-component,SpatialAudioComponent,RealityKit.SpatialAudio,reverbLevel,float,omitted,-27.275,Not authored in baseline fixture.,Medium,Observed
spatial-audio-component,SpatialAudioComponent,RealityKit.SpatialAudio,rolloffFactor,float,omitted,3.141493,Not authored in baseline fixture.,Medium,Observed
spot-light-component,SpotLightComponent,RealityKit.SpotLight,attenuationFalloffExponent,float,omitted,4,Not authored in baseline fixture.,High,Observed
spot-light-component,SpotLightComponent,RealityKit.SpotLight,attenuationRadius,float,omitted,"10, 20",Not authored in baseline fixture.,High,Observed
spot-light-component,SpotLightComponent,RealityKit.SpotLight,color,float3,omitted,"(0.071195416, 1, 1)",Not authored in baseline fixture.,High,Observed
